project name,compile,gradle version,flaky tests,total tests,successful tests,failed tests,skipped tests,time (mins),log size
jvwilge/gradle-docker-compose,error with test,6.4.1,0,,,,,8,148
seefa/seefa-gradle-groovey-start,error with test,4.10.3,no test,,,,,0,4
PhamNgocHau/JAVA_Spring_MVC_Gradle,error with test,5.2.1,no test,,,,,0,4
hhandoko/luwak,F,3.5,N/A,,,,,0,8
jonbullock/alexa-skill-everton-fixtures,F,3.4.1,N/A,,,,,0,4
gdgtorino/hash-code-java-starter-project,error with test,4.3.1,no test,,,,,0,4
Bhanuchander210/dsl,F,,N/A,,,,,0,4
grudus/Snake,F,,N/A,,,,,0,4
ATTX-project/platform-deployment,F,,N/A,,,,,0,4
saber-nyan/board-cli,F,3.5,N/A,,,,,0,4
yaodwwy/JavaTutorials,F,,N/A,,,,,0,4
Apalon/translation-tool,error with test,2.2,run time error,,,,,0,8
cinnamonbreakfast/movie_rentals_java:server,error with test,5.2.1,no test,,,,,0,4
Tocea/gradle-cpp-plugin,F,2.7,N/A,,,,,0,12
ehirsch/gradle-react-plugin,F,4.4,N/A,,,,,0,4
fkorotkov/gradle-libraries-plugin,error with test,6.8.3,no test,,,,,1,4
malvinstn/gradle-plugin-android-multi-module:app,error with test,5.6.1,no test,,,,,2,4
malvinstn/gradle-plugin-android-multi-module:lib1,error with test,5.6.1,no test,,,,,2,4
malvinstn/gradle-plugin-android-multi-module:lib2,error with test,5.6.1,no test,,,,,2,4
runejs/refactored-client-435,error with test,6.5,no test,,,,,0,4
unguiculus/job-dsl-sample,error with test,3.5,run time error,,,,,1,8
ostelco/ostelco-core:acceptance-tests,error with test,6.0.1,fail to add plugin,,,,,3,8
ostelco/ostelco-core:admin-endpoint,error with test,6.0.1,fail to add plugin,,,,,3,8
ostelco/ostelco-core:analytics-module,error with test,6.0.1,fail to add plugin,,,,,3,8
ostelco/ostelco-core:app-notifier,error with test,6.0.1,fail to add plugin,,,,,3,8
ostelco/ostelco-core:appleid-auth-service,error with test,6.0.1,fail to add plugin,,,,,3,8
ostelco/ostelco-core:auth-server,error with test,6.0.1,fail to add plugin,,,,,3,8
ostelco/ostelco-core:customer-endpoint,error with test,6.0.1,fail to add plugin,,,,,3,8
ostelco/ostelco-core:customer-support-endpoint,error with test,6.0.1,fail to add plugin,,,,,3,8
ostelco/ostelco-core:data-store,error with test,6.0.1,fail to add plugin,,,,,3,8
ostelco/ostelco-core:diameter-ha,error with test,6.0.1,fail to add plugin,,,,,3,8
ostelco/ostelco-core:diameter-stack,error with test,6.0.1,fail to add plugin,,,,,4,8
ostelco/ostelco-core:diameter-test,error with test,6.0.1,fail to add plugin,,,,,4,8
ostelco/ostelco-core:document-data-store,error with test,6.0.1,fail to add plugin,,,,,4,8
ostelco/ostelco-core:ekyc,error with test,6.0.1,fail to add plugin,,,,,4,8
ostelco/ostelco-core:email-notifier,error with test,6.0.1,fail to add plugin,,,,,4,8
ostelco/ostelco-core:ext-auth-provider,error with test,6.0.1,fail to add plugin,,,,,4,8
ostelco/ostelco-core:ext-myinfo-emulator,error with test,6.0.1,fail to add plugin,,,,,4,8
ostelco/ostelco-core:firebase-extensions,error with test,6.0.1,fail to add plugin,,,,,4,8
ostelco/ostelco-core:graphql,error with test,6.0.1,fail to add plugin,,,,,4,8
ostelco/ostelco-core:imei-lookup,error with test,6.0.1,fail to add plugin,,,,,4,8
ostelco/ostelco-core:jersey,error with test,6.0.1,fail to add plugin,,,,,4,8
ostelco/ostelco-core:kts-engine,error with test,6.0.1,fail to add plugin,,,,,4,8
