project name,compile,gradle version,flaky tests,total tests,successful tests,failed tests,skipped tests,time (mins),log size
wooga/atlas-rust,T,6.8.3,0,7,7,0,0,10,104
itphutrandn/firstPlugin_gradle,T,6.5.1,0,1,1,0,0,4,100
JavaCodeHouse/Integration-tests-gradle,T,7.5,0,19,19,0,0,2,60
alphaolomi/java-flatlaf-practise,T,6.9.2,0,12,12,0,0,1,60
MeGysssTaa/keiko-plugin-inspector,T,6.5,0,61,61,0,0,2,60
codefresh-contrib/gradle-sample-app,T,5.4.1,0,1,1,0,0,6,72
jojoldu/gradle-travisci-coverall,T,4.5.1,0,2,2,0,0,8,116
sridharbandi/Selenium-Serenity-Junit-Template,T,4.4,0,1,0,1,0,3,292
ethauvin/semver,T,7.0,0,7,7,0,0,2,56
jamj2000/DAW1-ED-Pruebas-Ejemplo1,T,2.10,0,10,10,0,0,1,60
springframeworkguru/testing-java-junit5-gradle,T,4.10.2,0,71,56,0,15,2,824
vicsz/testng-selenium-gradle-example,T,3.3,0,5,3,1,1,0,84
oss-ethinking/gradle-escenic-plugin:escenic-plugin,T,6.8,0,10,10,0,0,12,108
GoogleContainerTools/jib:jib-build-plan,T,6.9.2,0,,,,,6,64
GoogleContainerTools/jib:jib-gradle-plugin,T,6.9.2,0,,,,,75,68
GoogleContainerTools/jib:jib-maven-plugin,T,6.9.2,0,148,127,21,0,105,984
MineFlash07/Discord-Webhook,T,6.1.1,0,4,4,0,0,1,60
soft-stech/ttn4j,T,6.1,0,196,196,0,0,15,60
sgornostal/gradle-docker-plugin,T,3.1,0,12,12,0,0,4,100
mike-goolev/TheZebra,T,5.2.1,0,15,0,11,4,1,132
wynlo/springboot-boilerplate:test:end-to-end,T,6.4.1,0,8,8,0,0,12,220
AutomationPanda/applitools-appium-android-webinar,T,7.2,0,1,0,1,0,2,72
josdem/vetlog-spring-boot,T,7.4,0,78,65,13,0,2,60
cemnura/helidon-lab:chapter3,T,4.8,0,6,6,0,0,1,60
cemnura/helidon-lab:demo:hero,T,4.8,0,4,4,0,0,2,60
ngoanh2n/selenide-testng-reportportal-example,T,6.7.1,0,2,0,1,1,118,108
SimonHarmonicMinor/sneaky-java,T,7.0,0,48,48,0,0,3,372
Coding-Zuo/gradleModel,T,6.3,0,1,1,0,0,13,88
bmuschko/gradle-testkit-gradlebuild,T,2.14,0,1,0,1,0,1,100
